listing_id,price_egp,area_sqm,bedrooms,bathrooms,floor_number,building_age_years,district,compound_name,distance_to_auc_km,distance_to_mall_km,distance_to_metro_km,finishing_type,has_balcony,has_parking,has_security,has_amenities,view_type,listing_date,days_on_market,seller_type,is_negotiable
NCR-2024-00001,3650000,145,3,2,12,18,Madinaty,,15.9,2.1,13.1,Lux,Yes,Yes,Yes,No,Garden,2025-08-23,76,Broker,Yes
NCR-2024-00002,3900000,155,3,3,15,17,Fifth Settlement,,23.8,3.0,6.4,Lux,Yes,Yes,Yes,Yes,Compound,2025-08-12,87,Broker,Yes
NCR-2024-00003,2650000,109,2,3,5,14,Rehab City,,9.8,7.7,9.9,Lux,Yes,Yes,Yes,Yes,Garden,2025-09-20,48,Broker,Yes
NCR-2024-00004,5450000,219,3,4,10,1,Katameya,Lake View,4.5,4.4,4.5,Lux,Yes,Yes,Yes,Yes,Street,2025-09-10,58,Broker,Yes
NCR-2024-00005,2450000,96,2,3,4,13,Rehab City,Rehab 3,13.6,3.5,11.3,Lux,Yes,No,Yes,No,Street,2025-09-11,57,Owner,Yes
NCR-2024-00006,3000000,130,2,3,2,20,Rehab City,Rehab 4,4.0,4.4,11.8,Lux,Yes,Yes,Yes,Yes,Compound,2025-08-27,72,Owner,Yes
NCR-2024-00007,3100000,103,2,3,4,9,Katameya,Katameya Plaza,24.3,6.3,3.5,Lux,Yes,Yes,Yes,Yes,Compound,2025-07-21,109,Owner,Yes
NCR-2024-00008,5550000,242,4,4,12,15,Madinaty,Madinaty B2,2.9,3.1,11.1,Semi-finished,Yes,No,Yes,Yes,Garden,2025-07-14,116,Broker,No
NCR-2024-00009,4000000,165,3,4,8,6,Fifth Settlement,Hyde Park,19.3,1.8,8.0,Lux,No,No,Yes,No,Street,2025-07-28,102,Owner,Yes
NCR-2024-00010,6750000,217,3,4,5,7,Rehab City,Rehab 1,14.1,4.9,4.5,Super Lux,Yes,No,No,Yes,Garden,2025-08-06,93,Broker,Yes
NCR-2024-00011,4100000,210,3,3,5,9,Fifth Settlement,,10.5,5.5,8.0,Semi-finished,Yes,Yes,Yes,No,Compound,2025-09-30,38,Broker,Yes
NCR-2024-00012,4250000,172,3,2,13,14,Rehab City,Rehab 1,3.5,5.8,5.3,Semi-finished,Yes,Yes,Yes,No,Street,2025-11-04,3,Owner,Yes
NCR-2024-00013,3650000,165,3,4,12,7,Rehab City,Rehab 3,16.3,7.1,8.0,Unfinished,Yes,Yes,Yes,No,Street,2025-05-16,175,Broker,Yes
NCR-2024-00014,4350000,146,2,1,12,12,Fifth Settlement,Moon Valley,15.5,3.3,7.6,Super Lux,Yes,Yes,Yes,Yes,Garden,2025-07-15,115,Owner,Yes
