,n_missing,pct_missing
compound_name,427,0.23461538461538461
listing_id,0,0.0
price_egp,0,0.0
bedrooms,0,0.0
area_sqm,0,0.0
bathrooms,0,0.0
floor_number,0,0.0
building_age_years,0,0.0
district,0,0.0
distance_to_auc_km,0,0.0
distance_to_mall_km,0,0.0
distance_to_metro_km,0,0.0
finishing_type,0,0.0
has_balcony,0,0.0
has_parking,0,0.0
has_security,0,0.0
has_amenities,0,0.0
view_type,0,0.0
listing_date,0,0.0
days_on_market,0,0.0
seller_type,0,0.0
is_negotiable,0,0.0
price_per_sqm,0,0.0
listing_month,0,0.0
listing_year,0,0.0
